UserId,product_list
741,"[13039896, 12371282, 12371276, 11659004, 11360668, 11360688, 11351668, 12371268, 12371284, 11141346]"
743,"[11659770, 12657626, 12371282, 12371276, 11659004, 11360668, 11360688, 11351668, 12371268, 12371284]"
756,"[12407834, 12371378, 12658402, 12658452, 12658482, 12371282, 12371276, 11659004, 11360668, 11360688]"
771,"[12407694, 12657432, 12658418, 12371282, 11659004, 12371276, 11360668, 11360688, 11351668, 11360758]"
773,"[12360464, 11659552, 12407642, 12371282, 11659004, 12371276, 11360668, 11360688, 11351668, 11360758]"
794,"[12407388, 12371282, 11659004, 12371276, 11360668, 11360688, 11351668, 11360758, 11147534, 11149198]"
846,"[12407742, 13039848, 12371282, 11659004, 12371276, 11360668, 11360688, 11351668, 11360758, 11147534]"
852,"[12360436, 12658194, 12371282, 11659004, 12371276, 11360668, 11360688, 11351668, 11360758, 11147534]"
857,"[12407382, 12657448, 12371282, 11659004, 12371276, 11360668, 11360688, 11351668, 11360758, 11147534]"
861,"[12406964, 12371282, 11659004, 12371276, 11360668, 11360688, 11351668, 11360758, 11147534, 13039892]"
866,"[12657338, 12371282, 11659004, 12371276, 11360668, 11360688, 11351668, 11360758, 11147534, 13039892]"
871,"[12406906, 12407382, 12371282, 11659004, 12371276, 11360668, 11360688, 11351668, 11360758, 11147534]"
878,"[12657782, 12657802, 12371282, 11659004, 12371276, 11360668, 11360688, 11351668, 11360758, 11147534]"
892,"[11659146, 12371282, 11659004, 12371276, 11360668, 11360688, 11351668, 11360758, 11147534, 13039892]"
894,"[12407684, 12371282, 11659004, 12371276, 11360668, 11360688, 11351668, 11360758, 11147534, 13039892]"
925,"[12407568, 12371282, 11659004, 12371276, 11360668, 11360688, 11351668, 11360758, 11147534, 13039892]"
926,"[11659626, 11659530, 12371282, 11659004, 12371276, 11360668, 11360688, 11351668, 11360758, 11147534]"
928,"[11659456, 12658148, 12658150, 12658462, 12988634, 12371282, 11659004, 12371276, 11360668, 11360688]"
957,"[13039848, 12371282, 11659004, 12371276, 11360668, 11360688, 11351668, 11360758, 11147534, 13039892]"
958,"[12406990, 13039598, 11659520, 13038868, 13039078, 13039908, 12371282, 11659004, 12371276, 11360668]"
959,"[13039574, 12371282, 11659004, 12371276, 11360668, 11360688, 11351668, 11360758, 11147534, 13039892]"
969,"[11659640, 11659780, 12322654, 12371386, 12407656, 12407678, 13039580, 12371282, 11659004, 12371276]"
1002,"[11659736, 12360444, 12407818, 13039508, 13039566, 13039720, 12371282, 11659004, 12371276, 11360668]"
1017,"[11659934, 11145740, 11658986, 12371298, 12406868, 12406892, 12407132, 12657448, 12657704, 12658516]"
1023,"[11659806, 12407742, 12407824, 12658332, 12658348, 13039792, 12371282, 11659004, 12371276, 11360668]"
1041,"[12371378, 12407728, 12407762, 12371282, 11659004, 12371276, 11360668, 11360688, 11351668, 13039892]"
1048,"[12658426, 12657772, 13039898, 12360464, 12407734, 12657766, 12657776, 12658406, 13039878, 12371282]"
1051,"[11659438, 12658616, 12371282, 11659004, 12371276, 11360668, 11360688, 11351668, 13039892, 11360758]"
1066,"[13038828, 13039502, 12406870, 12658358, 13039440, 13039442, 13039538, 13039570, 12371282, 11659004]"
1074,"[11407382, 12371282, 11659004, 12371276, 11360668, 11360688, 11351668, 13039892, 11360758, 11147534]"
1076,"[12371306, 12407694, 12658228, 12371282, 11659004, 12371276, 11360668, 11360688, 11351668, 13039892]"
1077,"[13039848, 12371282, 11659004, 12371276, 11360668, 11360688, 11351668, 13039892, 11360758, 11147534]"
1097,"[12407802, 13064980, 12371282, 11659004, 12371276, 11360668, 11360688, 11351668, 13039892, 11360758]"
1104,"[11360784, 11460972, 11660122, 11714464, 11714538, 12407108, 12407356, 12407730, 12407760, 12657966]"
1145,"[11407436, 11139192, 11148902, 11360886, 11407140, 11407374, 11460670, 11481024, 11603772, 11659124]"
1159,"[12407030, 12371282, 11659004, 12371276, 11360668, 11360688, 11351668, 13039892, 12658000, 11149198]"
1190,"[13038956, 13039782, 13064966, 12371282, 11659004, 12371276, 11360668, 11360688, 11351668, 13039892]"
1198,"[12407924, 12658326, 13039026, 14122744, 12371282, 11659004, 12371276, 11360668, 11360688, 11351668]"
1202,"[12658476, 12371282, 11659004, 12371276, 11360668, 11360688, 11351668, 13039892, 12658000, 11149198]"
1203,"[13039712, 13039750, 11460696, 11659886, 11660126, 12396560, 12407694, 12657976, 12658034, 12658042]"
1210,"[11461022, 11603836, 11659106, 11659336, 12406882, 12406906, 12407408, 12407512, 12657788, 12658138]"
1236,"[11659632, 12371282, 11659004, 12371276, 11360668, 11360688, 11351668, 13039892, 11149198, 12658000]"
1251,"[11659402, 11659404, 11714676, 12371282, 11659004, 12371276, 11360668, 11360688, 11351668, 13039892]"
1260,"[11460780, 11659192, 11659334, 12406872, 12371282, 11659004, 12371276, 11360668, 11360688, 11351668]"
1261,"[11659248, 12407132, 12371282, 11659004, 12371276, 11360668, 11360688, 11351668, 13039892, 12658000]"
1263,"[14101712, 12371282, 11659004, 12371276, 11360668, 11360688, 11351668, 13039892, 12658000, 11149198]"
1269,"[12658352, 12371282, 11659004, 12371276, 11360668, 11360688, 11351668, 13039892, 12658000, 11149198]"
1270,"[12099206, 12322644, 12360426, 12396550, 12371282, 11659004, 12371276, 11360668, 11360688, 11351668]"
1283,"[13039706, 12371282, 11659004, 12371276, 11360668, 11360688, 11351668, 13039892, 12658000, 11149198]"
1308,"[12406880, 12406890, 13650124, 12371282, 12371276, 11659004, 11360688, 11360668, 11351668, 13039892]"
1324,"[13038974, 12371282, 12371276, 11659004, 11360688, 11360668, 11351668, 13039892, 12658000, 11150104]"
1347,"[12407028, 12371282, 12371276, 11659004, 11360688, 11360668, 11351668, 13039892, 12658000, 11150104]"
1383,"[12360388, 12658490, 12371282, 12371276, 11659004, 11360688, 11360668, 11351668, 13039892, 12658000]"
1387,"[13038868, 12658420, 13038954, 13039578, 13039878, 13039892, 13039894, 12371282, 12371276, 11659004]"
1399,"[13038822, 13039050, 12371282, 12371276, 11659004, 11360688, 11360668, 11351668, 13039892, 12658000]"
1408,"[12407624, 12371282, 12371276, 11659004, 11360688, 11360668, 11351668, 13039892, 12658000, 11150104]"
1409,"[13039534, 13039896, 12371282, 11659004, 12371276, 11360688, 11360668, 13039892, 11351668, 12658000]"
1429,"[11603770, 11603772, 12696926, 12371282, 11659004, 12371276, 11360688, 11360668, 13039892, 11351668]"
1442,"[12947666, 11659566, 12657450, 11145600, 11145762, 11360728, 11360860, 11361044, 11460780, 11603796]"
1451,"[12658486, 12658536, 13038886, 13038942, 13038950, 13653624, 12371282, 11659004, 12371276, 11360688]"
1484,"[11659020, 12657596, 13038648, 13038850, 14121830, 12371282, 11659004, 12371276, 11360688, 13039892]"
1492,"[12655600, 11658984, 12407924, 12657726, 12371282, 11659004, 12371276, 11360688, 13039892, 11360668]"
1500,"[12995878, 13039066, 13773572, 12371282, 12371276, 11659004, 11360688, 13039892, 11360668, 11351668]"
1503,"[11659340, 12360448, 12406880, 12407016, 12407236, 12407512, 12657772, 12657794, 12371282, 12371276]"
1506,"[13039540, 13039688, 12371282, 12371276, 11659004, 11360688, 13039892, 11360668, 11351668, 11150104]"
1509,"[13039512, 13039554, 13039782, 12371282, 12371276, 11659004, 11360688, 13039892, 11360668, 11351668]"
1515,"[12371378, 11141328, 11659764, 11659806, 12322654, 12360412, 12360414, 12371354, 12371376, 12371382]"
1546,"[11407204, 12657382, 12371374, 12407368, 12658482, 13039032, 12371282, 11659004, 12371276, 11360688]"
1550,"[11460894, 12371282, 11659004, 12371276, 11360688, 13039892, 11360668, 11351668, 11149198, 11150104]"
1552,"[12371338, 12407880, 12657494, 12658676, 12371282, 11659004, 12371276, 11360688, 13039892, 11360668]"
1567,"[11659204, 12371282, 11659004, 12371276, 11360688, 13039892, 11360668, 11351668, 11149198, 11150104]"
1572,"[12657770, 12658620, 12371282, 11659004, 12371276, 11360688, 13039892, 11360668, 11351668, 11149198]"
1574,"[11659632, 11714500, 13039440, 13039460, 13039540, 12371282, 11659004, 12371276, 11360688, 13039892]"
1593,"[11660002, 12407738, 12657706, 13039574, 13039888, 13039892, 11659004, 12371282, 11360688, 11360668]"
1594,"[11141306, 11652760, 11714694, 12371932, 12657558, 12658394, 13039892, 11659004, 12371282, 11360688]"
1603,"[11520046, 12407852, 12437310, 12657436, 12657494, 12657526, 12657650, 13038824, 13038946, 13039080]"
1605,"[11659022, 11659630, 12658144, 13039892, 11659004, 12371282, 11360688, 11360668, 12371276, 11351668]"
1607,"[12371378, 12407790, 13039892, 11659004, 12371282, 11360688, 11360668, 12371276, 11351668, 12658000]"
1609,"[11659472, 13039892, 11659004, 12371282, 11360688, 11360668, 12371276, 11351668, 12658000, 13039894]"
1637,"[12407008, 12407368, 13039892, 11659004, 12371282, 11360688, 11360668, 13039894, 12371276, 11351668]"
1660,"[13039894, 12947664, 12406940, 12407010, 12407742, 13039440, 13039096, 11460742, 11461108, 12407828]"
1668,"[11714540, 12407796, 13039516, 13039892, 11659004, 11360688, 11360668, 13039894, 12371282, 12658000]"
1709,"[13039848, 13039818, 11659624, 12407742, 12658358, 13039024, 13039470, 13039516, 13039548, 13039690]"
1713,"[12658588, 13039892, 11659004, 11360688, 11360668, 13039894, 12371282, 12658000, 12947664, 11351668]"
1733,"[13038882, 13039892, 11659004, 11360688, 11360668, 13039894, 12371282, 12658000, 12947664, 11351668]"
1755,"[12406930, 12657366, 12371282, 12371276, 11659004, 13039892, 11360688, 11360668, 11351668, 12658000]"
1756,"[11659192, 11361056, 11659194, 11659198, 12406924, 11147252, 11360672, 11360880, 11360894, 11407256]"
1766,"[11659806, 12658450, 12658496, 12371282, 12371276, 11659004, 13039892, 11360688, 11360668, 11351668]"
1773,"[12658438, 12371282, 12371276, 11659004, 13039892, 11360688, 11360668, 11351668, 12658000, 11660120]"
1791,"[12657780, 12658202, 12658204, 12371282, 12371276, 11659004, 13039892, 11360688, 11360668, 11351668]"
1803,"[11148922, 11360884, 11360912, 12657532, 12371282, 12371276, 11659004, 13039892, 11360688, 11360668]"
1808,"[12371378, 11460792, 11659158, 12371282, 12371276, 11659004, 13039892, 11360688, 11360668, 11351668]"
1813,"[13039774, 12371282, 12371276, 11659004, 13039892, 11360688, 11360668, 11351668, 11660120, 12658000]"
1816,"[12371342, 12657434, 12371282, 12371276, 11659004, 13039892, 11360688, 11360668, 11351668, 11660120]"
1831,"[11659838, 12371282, 12371276, 11659004, 13039892, 11360688, 11360668, 11351668, 11660120, 12658000]"
1847,"[11360758, 11659004, 11360688, 11360668, 12371282, 12371276, 11660120, 11351668, 11150104, 11150120]"
1864,"[13039088, 11659004, 11360688, 11360668, 12371282, 12371276, 11660120, 11360758, 11351668, 11150104]"
1895,"[12371248, 12406862, 12406906, 12407224, 11659004, 11360688, 11360668, 12371282, 12371276, 11660120]"
1896,"[12407188, 13039440, 13039442, 13202646, 13202670, 11659004, 11360688, 11360668, 12371282, 12371276]"
1897,"[11481076, 11481086, 11659004, 11360688, 11360668, 12371282, 12371276, 11660120, 11360758, 11351668]"
1916,"[12658394, 12658476, 12658484, 13039760, 13039834, 11659004, 11360688, 11360668, 12371282, 12371276]"
1920,"[11460676, 12407158, 12407176, 12407742, 11659004, 11360688, 11360668, 12371282, 12371276, 11660120]"
1925,"[12995878, 11659004, 11360688, 11360668, 12371282, 12371276, 11660120, 11360758, 11351668, 11150104]"
1969,"[11659168, 11714670, 12407398, 12407400, 12371282, 12371276, 11659004, 13039892, 11360688, 11360668]"
1980,"[12658258, 11407282, 12360398, 12407800, 12658270, 13039536, 12371282, 12371276, 11659004, 13039892]"
1981,"[11659048, 11659052, 11659534, 11659624, 11659670, 12322664, 12360452, 12371376, 12657612, 12658330]"
1990,"[13039618, 13039706, 12407324, 12657752, 13038932, 13038974, 13038980, 13039516, 13039518, 13039602]"
2004,"[12658296, 12658376, 12371282, 12371276, 11659004, 13039892, 11360688, 11360668, 12658000, 11660120]"
2008,"[12658204, 12658676, 12371282, 12371276, 11659004, 13039892, 11360688, 11360668, 12658000, 11660120]"
2012,"[11141306, 11360912, 11360976, 11361050, 11361056, 11407350, 11461042, 11658950, 11659334, 11659562]"
2019,"[12407742, 12658406, 12371282, 12371276, 11659004, 13039892, 11360688, 11360668, 12658000, 11351668]"
2023,"[13039088, 13039100, 12371282, 12371276, 11659004, 13039892, 11360688, 11360668, 12658000, 11351668]"
2037,"[12658586, 11481020, 11659026, 11659988, 12407638, 12658138, 12371282, 12371276, 11659004, 13039892]"
2038,"[12322658, 12407390, 12407400, 12658512, 12658616, 12371282, 12371276, 11659004, 13039892, 11360688]"
2067,"[12407934, 12360392, 12407394, 12407408, 12657374, 12657558, 12657686, 12658192, 12658212, 12658508]"
2074,"[12657442, 13202646, 12371282, 12371276, 11659004, 13039892, 11360688, 11360668, 11351668, 12658000]"
2076,"[12657360, 12371282, 12371276, 11659004, 13039892, 11360688, 11360668, 11351668, 12658000, 13039894]"
2082,"[13039496, 12371282, 12371276, 11659004, 13039892, 11360688, 11360668, 11351668, 12658000, 13039894]"
2091,"[11659206, 11659234, 12407016, 12407444, 12407830, 12658300, 12371282, 12371276, 11659004, 13039892]"
2110,"[13033180, 13039802, 13653606, 11659624, 11659836, 12657372, 12658042, 13653688, 11659818, 12407770]"
2124,"[11407162, 11480974, 12360388, 12658512, 12371282, 12371276, 11659004, 13039892, 11360688, 11360668]"
2150,"[12360380, 12360392, 12371282, 12371276, 11659004, 13039892, 11360688, 11360668, 11351668, 12658000]"
2152,"[13039742, 12371282, 12371276, 11659004, 13039892, 11360688, 11360668, 11351668, 12658000, 13039894]"
2155,"[11360770, 11659126, 11659128, 11659468, 11714426, 12322664, 12658300, 12658332, 12658400, 12371282]"
2172,"[12407794, 12371282, 12371276, 11659004, 13039892, 11360688, 11360668, 11351668, 12658000, 13039894]"
2177,"[12657618, 13038880, 13038882, 12658518, 13038886, 13039650, 13039838, 13039840, 13202648, 12371282]"
2192,"[13038648, 12371282, 12371276, 11659004, 13039892, 11360688, 11360668, 11351668, 12658000, 13039894]"
2196,"[11658986, 11659464, 11659882, 11659934, 11714428, 11714682, 12371282, 12371276, 11659004, 13039892]"
2207,"[13038978, 11660000, 12407624, 12407926, 12657766, 13038904, 13038906, 13039020, 13039052, 13039904]"
2215,"[12407394, 12658416, 11659716, 11659742, 12658464, 12371282, 12371276, 11659004, 13039892, 11360688]"
2218,"[11659306, 11659964, 12407398, 12407400, 12371282, 12371276, 11659004, 13039892, 11360688, 11360668]"
2224,"[12657732, 11659532, 11659674, 12322658, 12322666, 12406904, 12407744, 12407754, 12407814, 12658328]"
2234,"[13039474, 12371282, 12371276, 11659004, 13039892, 11360688, 11360668, 11351668, 12658000, 13039894]"
2237,"[11659742, 12658586, 12371282, 12371276, 11659004, 13039892, 11360688, 11360668, 11351668, 12658000]"
2240,"[11407382, 11659306, 12657366, 13038648, 12371282, 12371276, 11659004, 13039892, 11360688, 11360668]"
2251,"[13038878, 13039896, 12371282, 12371276, 11659004, 13039892, 11360688, 11360668, 11351668, 12658000]"
2259,"[11659688, 11659742, 11659834, 12360446, 12658364, 12658494, 12371282, 12371276, 11659004, 13039892]"
2274,"[12407888, 12407436, 12407780, 12407800, 12371282, 12371276, 11659004, 13039892, 11360688, 11360668]"
2300,"[11659158, 11659312, 12657656, 11407280, 12657612, 12657648, 12371282, 12371276, 13039892, 11659004]"
2309,"[12407818, 13038962, 12371282, 12371276, 13039892, 11659004, 11360688, 11360668, 13039894, 11351668]"
2317,"[11603798, 11659024, 11659236, 11659838, 11714602, 12407524, 12657340, 13039100, 12371282, 12371276]"
2335,"[12407788, 12371282, 12371276, 13039892, 11659004, 11360688, 11360668, 13039894, 11351668, 12658000]"
2348,"[12658436, 13039650, 12360420, 13039548, 11659854, 12407620, 12371282, 12371276, 13039892, 11659004]"
2366,"[11659706, 12371282, 12371276, 13039892, 11659004, 11360688, 11360668, 13039894, 11351668, 12658000]"
2387,"[13653564, 12371282, 12371276, 13039892, 11659004, 11360688, 11360668, 13039894, 11351668, 12658000]"
2388,"[12407024, 12371282, 12371276, 13039892, 11659004, 11360688, 11360668, 13039894, 11351668, 12658000]"
2400,"[11659836, 13039806, 12371282, 12371276, 13039892, 11659004, 11360688, 11360668, 13039894, 11351668]"
2406,"[12658368, 12371282, 12371276, 13039892, 11659004, 11360688, 11360668, 13039894, 11351668, 12658000]"
2414,"[11659218, 11659252, 12407006, 12407008, 12407350, 12407398, 12371282, 12371276, 13039892, 11659004]"
2421,"[12437342, 13039038, 11659066, 11659072, 11659074, 11659130, 11659216, 11659218, 12407274, 12407444]"
2450,"[11659220, 12657384, 12371282, 12371276, 13039892, 11659004, 11360688, 11360668, 13039894, 11351668]"
2458,"[12658480, 12657732, 12657746, 12657758, 12371282, 12371276, 13039892, 11659004, 11360688, 11360668]"
2471,"[11407382, 12371282, 13039892, 12371276, 13039894, 11659004, 11360688, 11360668, 12371284, 12658000]"
2482,"[12407742, 12371282, 13039892, 12371276, 13039894, 11659004, 11360688, 11360668, 14122832, 12371284]"
2513,"[12657534, 13038942, 12371282, 13039892, 12371276, 13039894, 11659004, 11360688, 11360668, 14122832]"
2516,"[11714306, 12371378, 12407030, 12371282, 13039892, 12371276, 13039894, 11659004, 11360688, 11360668]"
2518,"[11659330, 11659654, 12371282, 13039892, 12371276, 13039894, 11659004, 11360688, 11360668, 14122832]"
2519,"[11659834, 12658246, 12371282, 13039892, 12371276, 13039894, 11659004, 11360688, 11360668, 14122832]"
2524,"[11360932, 12406976, 12407476, 12407478, 12407480, 13038956, 13039774, 12371282, 13039892, 12371276]"
2527,"[11659966, 12406862, 13038648, 12371282, 13039892, 12371276, 13039894, 11659004, 11360688, 11360668]"
2530,"[12407356, 12371282, 13039892, 12371276, 13039894, 11659004, 11360688, 11360668, 14122832, 12371284]"
2532,"[12371378, 12371282, 13039892, 12371276, 13039894, 11659004, 11360688, 11360668, 14122832, 12371284]"
2542,"[11659776, 12658228, 12371282, 13039892, 12371276, 13039894, 11659004, 11360688, 11360668, 14122832]"
2554,"[11659780, 11659056, 11659342, 12657434, 12657436, 12371282, 12371276, 13039892, 11659004, 11360668]"
2573,"[12407340, 12371282, 12371276, 11659004, 13039892, 11360668, 11360688, 12658000, 11351668, 12371284]"
2601,"[11407274, 11659628, 12360398, 12407674, 12407696, 12658268, 12658292, 12658294, 12658308, 12658314]"
2608,"[11714680, 12371282, 12371276, 11659004, 13039892, 11360668, 11360688, 12658000, 11351668, 12371284]"
2632,"[12407780, 13039656, 13039688, 13039696, 12371282, 12371276, 11659004, 13039892, 11360668, 11360688]"
2648,"[12407770, 12371282, 12371276, 11659004, 13039892, 11360668, 11360688, 12658000, 12371284, 11660154]"
2663,"[12371256, 12371282, 12371276, 11659004, 13039892, 11360668, 11360688, 12658000, 12371284, 11660154]"
2664,"[11407140, 12371282, 12371276, 11659004, 13039892, 11360668, 11360688, 12658000, 12371284, 11660154]"
2667,"[11360912, 12658426, 12371282, 12371276, 11659004, 13039892, 11360668, 11360688, 12658000, 12371284]"
2751,"[13039646, 12371282, 12371276, 11659004, 13039892, 11360688, 11360668, 12658000, 12371284, 11351668]"
2754,"[11360674, 12407116, 12407154, 12658030, 12371282, 12371276, 11659004, 13039892, 11360688, 11360668]"
2766,"[11659550, 12658370, 13039922, 12371282, 12371276, 11659004, 13039892, 11360688, 11360668, 12658000]"
2777,"[12658568, 12658508, 11659550, 12407734, 12371386, 12658348, 12658544, 11659336, 11659618, 11659734]"
2779,"[11659780, 11360760, 11660008, 12658404, 12658462, 13038858, 13038882, 13038942, 13039560, 13039662]"
2801,"[11407262, 11659632, 11460954, 11460964, 11659622, 11659716, 12322646, 12360410, 12360418, 12407694]"
2820,"[12360374, 12371282, 12371276, 11659004, 13039892, 11360688, 11360668, 12658000, 11351668, 11660154]"
2830,"[13039706, 12371282, 12371276, 11659004, 13039892, 11360688, 11360668, 12658000, 11351668, 11660154]"
2871,"[11659248, 12322660, 12658084, 12371282, 12371276, 11659004, 13039892, 11360688, 11360668, 12658000]"
2880,"[11659630, 12371282, 12371276, 11659004, 13039892, 11360688, 11360668, 12658000, 11351668, 11660154]"
2886,"[13038858, 13039840, 12371282, 12371276, 11659004, 13039892, 11360688, 11360668, 12658000, 11351668]"
2894,"[12407194, 12371282, 12371276, 11659004, 13039892, 11360688, 11360668, 12658000, 11351668, 11660154]"
2898,"[12657900, 12371282, 12371276, 11659004, 13039892, 11360688, 11360668, 12658000, 11351668, 11660154]"
2915,"[12407006, 12407400, 12371282, 12371276, 11659004, 13039892, 11360688, 11360668, 12658000, 11351668]"
2961,"[12657408, 12371282, 12371276, 11659004, 13039892, 11360688, 11360668, 12658000, 11351668, 11660154]"
2970,"[12406904, 11481024, 11659002, 12407354, 12407382, 12407436, 12371282, 12371276, 11659004, 13039892]"
2974,"[11335962, 11360882, 11659526, 12371282, 12371276, 11659004, 13039892, 11360688, 11360668, 12658000]"
3000,"[12436886, 12371282, 12371276, 11659004, 13039892, 11360688, 11360668, 12658000, 11351668, 11147534]"
3010,"[13039520, 12371282, 12371276, 11659004, 13039892, 11360688, 11360668, 12658000, 11351668, 11147534]"
3018,"[11659042, 12360450, 11659044, 11659688, 11659764, 12360456, 12407534, 12655600, 13038848, 13038850]"
3041,"[13039540, 12371282, 12371276, 11659004, 13039892, 11360688, 11360668, 12658000, 11351668, 11147534]"
3046,"[11659148, 11659362, 11659558, 11659570, 11659602, 12657440, 12371282, 12371276, 11659004, 13039892]"
3050,"[12658138, 12371282, 12371276, 11659004, 13039892, 11360688, 11360668, 12658000, 11351668, 11147534]"
